date,nav,n_pos
2023-04-06,100000.0,0
2023-04-07,100000.0,0
2023-04-10,97327.910811436,10
2023-04-11,96951.445312436,10
2023-04-12,99246.03538743599,10
2023-04-13,96490.24033543598,10
2023-04-14,96905.620013436,10
2023-04-17,98354.36828921796,17
2023-04-18,99419.86390021796,17
2023-04-19,99791.45177321794,17
2023-04-20,103175.20039821797,17
2023-04-21,100223.80597621796,17
2023-04-24,100577.18263233316,15
2023-04-25,102381.22884633315,15
2023-04-26,98352.66093033318,15
2023-04-27,96059.46139233316,15
2023-04-28,100922.51196233317,15
2023-05-04,101261.33006085453,17
2023-05-05,100249.56232485455,17
2023-05-08,102730.7902773892,16
2023-05-09,100934.88583138923,16
2023-05-10,96429.37952838921,16
2023-05-11,96298.12244138923,16
2023-05-12,94030.07790438924,16
2023-05-15,95149.05385315507,17
2023-05-16,94061.17267315506,17
2023-05-17,93994.60803215507,17
2023-05-18,95637.09838715509,17
2023-05-19,93942.92709215508,17
2023-05-22,92968.93606693011,16
2023-05-23,90458.31000193012,16
2023-05-24,88561.48398193011,16
2023-05-25,88817.68275593013,16
2023-05-26,89289.20674593012,16
2023-05-29,92186.28809069814,18
2023-05-30,92873.79386869818,18
2023-05-31,92822.57890369816,18
2023-06-01,92100.94861869817,18
2023-06-02,91403.02461369817,18
2023-06-05,92722.184810892,17
2023-06-06,90173.39361389201,17
2023-06-07,90038.05533489201,17
2023-06-08,90841.41043789199,17
2023-06-09,93379.47782389198,17
2023-06-12,92519.67708051542,15
2023-06-13,93015.5007425154,15
2023-06-14,92602.24577451538,15
2023-06-15,92642.04460651541,15
2023-06-16,93694.16122951539,15
2023-06-19,95110.62736610143,17
2023-06-20,95875.52960810144,17
2023-06-21,93328.94583210142,17
2023-06-26,90546.77731112992,15
2023-06-27,91548.18124412993,15
2023-06-28,89954.15296212994,15
2023-06-29,90818.81114112995,15
2023-06-30,91006.49303112994,15
2023-07-03,91478.08060615502,16
2023-07-04,91586.28709015503,16
2023-07-05,90583.32249415504,16
2023-07-06,91051.11633915504,16
2023-07-07,90863.69817515503,16
2023-07-10,90480.59539387548,17
2023-07-11,90834.39401987549,17
2023-07-12,89503.10264787548,17
2023-07-13,91718.4887408755,17
2023-07-14,92180.26169887546,17
2023-07-17,91489.25425266442,15
2023-07-18,90815.20489366444,15
2023-07-19,90568.45918666442,15
2023-07-20,88203.83916666443,15
2023-07-21,87911.76284166443,15
2023-07-24,87383.51391491089,18
2023-07-25,88877.5443909109,18
2023-07-26,88124.4798539109,18
2023-07-27,88112.65373791088,18
2023-07-28,89932.72298491091,18
2023-07-31,89565.21813913275,16
2023-08-01,89114.81347513273,16
2023-08-02,88479.61000413273,16
2023-08-03,90008.07639713271,16
2023-08-04,90763.56136913275,16
2023-08-07,91836.73695606475,17
2023-08-08,89570.90136706473,17
2023-08-09,89459.16826406475,17
2023-08-10,92213.48456006474,17
2023-08-11,88471.42592406475,17
2023-08-14,88518.8179601798,18
2023-08-15,90332.08166217979,18
2023-08-16,91142.6542261798,18
2023-08-17,91047.90047917978,18
2023-08-18,89274.77385117982,18
2023-08-21,88295.37770276198,16
2023-08-22,90945.46841876199,16
2023-08-23,88845.089240762,16
2023-08-24,86912.93842176197,16
2023-08-25,88052.30284776198,16
2023-08-28,89756.74059241005,16
2023-08-29,89273.28522241008,16
2023-08-30,87199.97669141005,16
2023-08-31,86968.03469941005,16
2023-09-01,86667.05861441008,16
2023-09-04,87673.66758852162,15
2023-09-05,88011.5717375216,15
2023-09-06,87756.71131952164,15
2023-09-07,88350.17268152162,15
2023-09-08,87723.23348452164,15
2023-09-11,87484.6941005762,15
2023-09-12,86828.63093557618,15
2023-09-13,86679.08640657619,15
2023-09-14,87532.97089757619,15
2023-09-15,87124.4642245762,15
2023-09-18,87062.95170130092,14
